Base path:	Sample name:	Section name	User ID
	Pellets	Pellet_38	
Year	Month	Day	Time
2023	09	18	21
Voltage	30	kV	
Current	50	mA	
Exposure time	0	ms	
line camera signal level	59676	at 25 ms	
Step size	200	microns	
XRF	ON		
XRF exp. time	20	seconds	
Start coordinate	1318.0	Stop coordinate	1320.0
XRF voltage and current	30	  	50
Tube	Mo		
Optical Start	-0.2	Optical End	1832.0
Step size	0.047	microns	
Start temperature		°C	
Start humidity		%	
Start vacuum	-93.7	kPa	
Stop temperature		°C	
Stop humidity		%	
Stop vacuum		kPa	
